study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	nominal_sdev
PRJEB19338	SAMEA80226418	ERS1545083	ERX1883129	ERR1820627	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07P	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1820627/ERR1820627.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1820627/ERR1820627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1820627/ERR1820627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820627/p07P_Nuc.bam		07P	WI3	0
PRJEB19338	SAMEA80227168	ERS1545084	ERX1883130	ERR1820628	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07Q	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1820628/ERR1820628.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1820628/ERR1820628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1820628/ERR1820628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820628/p07Q_Nuc.bam		07Q	MI5	0
PRJEB19338	SAMEA80227918	ERS1545085	ERX1883131	ERR1820629	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07R	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1820629/ERR1820629.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1820629/ERR1820629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1820629/ERR1820629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820629/p07R_Nuc.bam		07R	MI6	0
PRJEB19338	SAMEA80228668	ERS1545086	ERX1883132	ERR1820630	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	14D	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820630/ERR1820630.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820630/ERR1820630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820630/ERR1820630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820630/p14D_Nuc.bam		14D	ON2	0
PRJEB19338	SAMEA80229418	ERS1545087	ERX1883133	ERR1820631	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	14B	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1820631/ERR1820631.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1820631/ERR1820631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1820631/ERR1820631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820631/p14B_Nuc.bam		14B	ON4	0
PRJEB19338	SAMEA80230168	ERS1545088	ERX1883134	ERR1820632	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	14A	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1820632/ERR1820632.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1820632/ERR1820632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1820632/ERR1820632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820632/p14A_Nuc.bam		14A	OH1	0
PRJEB19338	SAMEA80230918	ERS1545089	ERX1883135	ERR1820633	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11A	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1820633/ERR1820633.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1820633/ERR1820633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1820633/ERR1820633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820633/p11A_Nuc.bam		11A	MO1	0
PRJEB19338	SAMEA80231668	ERS1545090	ERX1883136	ERR1820634	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11AA	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1820634/ERR1820634.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1820634/ERR1820634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1820634/ERR1820634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820634/p11AA_Nuc.bam		11AA	ON9	0
PRJEB19338	SAMEA80232418	ERS1545091	ERX1883137	ERR1820635	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11AB	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1820635/ERR1820635.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1820635/ERR1820635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1820635/ERR1820635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820635/p11AB_Nuc.bam		11AB	ON10	0
PRJEB19338	SAMEA80233168	ERS1545092	ERX1883138	ERR1820636	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11AC	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1820636/ERR1820636.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1820636/ERR1820636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1820636/ERR1820636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820636/p11AC_Nuc.bam		11AC	ON11	0
PRJEB19338	SAMEA80233918	ERS1545093	ERX1883139	ERR1820637	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11AE	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1820637/ERR1820637.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1820637/ERR1820637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1820637/ERR1820637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820637/p11AE_Nuc.bam		11AE	ON12	0
PRJEB19338	SAMEA80234668	ERS1545094	ERX1883140	ERR1820638	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11AG	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1820638/ERR1820638.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1820638/ERR1820638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1820638/ERR1820638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820638/p11AG_Nuc.bam		11AG	ON7	0
PRJEB19338	SAMEA80235418	ERS1545095	ERX1883141	ERR1820639	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11AH	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1820639/ERR1820639.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1820639/ERR1820639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1820639/ERR1820639_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820639/p11AH_Nuc.bam		11AH	ON6	0
PRJEB19338	SAMEA80236168	ERS1545096	ERX1883142	ERR1820640	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11AJ	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820640/ERR1820640.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820640/ERR1820640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820640/ERR1820640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820640/p11AJ_Nuc.bam		11AJ	WI2	0
PRJEB19338	SAMEA80393668	ERS1545306	ERX1885169	ERR1822667	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07D	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-15:28:30:573-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1822667/ERR1822667.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1822667/ERR1822667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1822667/ERR1822667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1822667/p07D_Nuc.bam		07D	NY1	0
PRJEB19338	SAMEA80394418	ERS1545307	ERX1885170	ERR1822668	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07J	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-15:28:30:573-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1822668/ERR1822668.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1822668/ERR1822668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1822668/ERR1822668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1822668/p07J_Nuc.bam		07J	IN1	0
PRJEB19338	SAMEA80395168	ERS1545308	ERX1885171	ERR1822669	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11B	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-15:28:30:573-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1822669/ERR1822669.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1822669/ERR1822669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1822669/ERR1822669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1822669/p11B_Nuc.bam		11B	MO2	0
PRJEB19338	SAMEA80395918	ERS1545309	ERX1885172	ERR1822670	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11C	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-15:28:30:573-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1822670/ERR1822670.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1822670/ERR1822670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1822670/ERR1822670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1822670/p11C_Nuc.bam		11C	NC1	0
PRJEB19338	SAMEA80396668	ERS1545310	ERX1885173	ERR1822671	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11D	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-15:28:30:573-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1822671/ERR1822671.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1822671/ERR1822671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1822671/ERR1822671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1822671/p11D_Nuc.bam		11D	NC3	0
PRJEB19338	SAMEA80397418	ERS1545311	ERX1885174	ERR1822672	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11E	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-15:28:30:573-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1822672/ERR1822672.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1822672/ERR1822672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1822672/ERR1822672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1822672/p11E_Nuc.bam		11E	NC2	0
PRJEB19338	SAMEA80398168	ERS1545312	ERX1885175	ERR1822673	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11F	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-15:28:30:573-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1822673/ERR1822673.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1822673/ERR1822673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1822673/ERR1822673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1822673/p11F_Nuc.bam		11F	NC4	0
PRJEB19338	SAMEA80422168	ERS1545344	ERX1885591	ERR1823087	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11G	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823087/ERR1823087.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823087/ERR1823087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823087/ERR1823087_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823087/p11G_Nuc.bam		11G	MO3	0
PRJEB19338	SAMEA80422918	ERS1545345	ERX1885592	ERR1823088	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11H	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1823088/ERR1823088.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1823088/ERR1823088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1823088/ERR1823088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823088/p11H_Nuc.bam		11H	IA1	0
PRJEB19338	SAMEA80423668	ERS1545346	ERX1885593	ERR1823089	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11J	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1823089/ERR1823089.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1823089/ERR1823089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1823089/ERR1823089_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823089/p11J_Nuc.bam		11J	IL1	0
PRJEB19338	SAMEA80424418	ERS1545347	ERX1885594	ERR1823090	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11K	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1823090/ERR1823090.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1823090/ERR1823090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1823090/ERR1823090_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823090/p11K_Nuc.bam		11K	VA2	0
